发布时间,PA,PE,PD,PH,PG,PB,PK,NA,NB,NJ,NH,PF,NI,NC,NG,NE,ND,NN,NK,NL,PC,topic
2020-03-19,4120,3702,1174,19948,4749,3012,1558,0,643,1248,19,1230,1111,21353,0,4047,3260,6318,2,5388,82,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-20,2621,3701,9348,20062,5317,1243,1259,0,1914,33,9,623,3279,5414,1,1501,1259,10933,0,386,344,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-21,12025,6133,3135,70437,7205,31547,2723,0,1889,602,232,2047,2985,64068,13,2910,2951,9100,0,6491,2287,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-22,619,115,569,7532,174,118,693,0,716,44,9,100,64,2427,0,186,437,1884,0,1678,2,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-23,389,197,463,6947,557,658,154,0,262,14,117,201,32,6765,38,261,195,3139,0,2728,13,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-24,1536,2388,722,50320,752,449,300,0,443,80,0,196,244,3346,4,165,174,21419,0,19976,101,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-25,5130,8865,5604,31827,4834,1314,4369,0,1144,421,63,741,2990,19126,4,5959,3909,22058,0,5385,1888,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-26,731,485,582,6582,1904,267,194,0,693,628,6,154,335,3226,0,625,512,1746,0,319,13,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-27,570,123,351,1664,274,308,730,0,593,41,2,56,39,1414,0,62,366,816,0,90,15,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-28,1012,657,489,3358,416,691,77,0,236,4,6,87,640,1313,0,617,419,593,0,127,2,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-03-29,597,178,1271,5166,2090,585,1136,0,276,882,41,190,630,5333,0,418,71,2170,0,613,392,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-30,15572,2050,17822,56339,2807,764,6359,0,1950,213,112,574,1824,9828,38,2805,809,3986,0,1101,6314,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-03-31,2733,1470,883,11683,1535,1549,1001,0,295,246,52,409,274,5541,14,814,386,5260,0,765,172,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-02,21,0,0,28,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0,0,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-04-03,4,4,14,55,8,10,12,0,0,4,0,4,0,114,0,4,0,8,0,0,0,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-04-04,972,153,309,1402,1383,687,1,0,1315,1,0,4,2554,724,0,3556,655,653,0,12,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-04-05,286,172,107,1620,397,206,30,0,59,0,7,87,160,8334,3,118,74,3397,0,98,19,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-06,751,360,229,3840,511,710,145,0,1064,86,838,105,1805,6254,4,647,928,2643,0,323,48,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-07,4104,2291,889,11482,3541,716,381,0,1251,81,40,1912,836,5864,0,435,467,5958,0,2153,255,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-08,3188,2114,1303,14160,1466,904,3209,0,2857,96,26,160,106,9816,7,693,1250,2868,2,1048,88,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-09,1412,1077,1076,20194,934,716,328,0,890,36,118,283,254,28255,24,826,938,2471,0,2530,194,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-10,1154,392,888,5425,1135,1174,243,0,1013,32,104,467,91,4129,0,440,1957,1581,2,1147,715,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-11,1175,365,516,15090,514,883,195,0,759,33,44,778,60,36116,5,759,222,610,0,2723,54,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-12,570,384,811,7307,742,238,144,0,326,34,79,257,169,15525,4,2933,325,669,0,253,108,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-13,4723,2727,9815,38469,2725,2567,1005,0,3341,112,950,257,434,18506,4,4334,496,8983,0,2463,332,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-14,7677,947,4346,14838,2534,5041,1491,0,3091,790,10,293,1729,14173,0,2696,435,3355,0,2041,433,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-15,426,185,1701,6093,257,561,119,0,1109,0,40,71,94,364,0,108,449,3838,0,412,728,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-16,1470,887,3179,25255,7126,4996,3871,0,609,15,46,3056,93,8703,0,204,112,5546,0,670,8,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-17,2486,1810,1395,22706,3963,777,1961,0,1291,67,78,389,1899,8740,0,821,2599,9762,0,2680,202,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-18,9149,6887,2975,43481,6887,1674,5388,0,6230,68,955,3039,5409,42386,13,5447,640,11446,0,11146,54,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-19,764,309,286,2553,442,438,164,0,164,64,7,101,137,3605,0,217,986,710,0,112,77,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-20,1706,1453,2204,14880,1165,789,1217,0,410,180,41,355,287,7728,3,358,359,2391,0,2552,76,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-21,601,1006,266,7945,834,600,726,0,96,59,73,127,562,10820,0,437,123,593,0,1497,4,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-22,1576,907,366,25512,4320,1694,347,0,281,89,102,319,406,19140,21,1039,1373,3294,0,3503,446,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-23,1755,1199,953,4539,11742,316,1416,0,2529,5932,3,95,164,3095,0,12713,5743,2435,0,529,102,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-24,589,512,326,1848,574,381,131,0,119,14,5,69,59,676,0,362,315,558,0,95,6,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-25,265,128,123,707,321,294,46,0,74,3,9,15,43,356,0,73,216,260,0,41,27,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-26,360,430,293,1381,394,169,102,0,73,2,0,53,36,459,0,280,73,473,0,69,3,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-27,459,121,400,1513,295,349,142,0,78,5,4,22,69,483,0,133,39,492,0,32,28,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-28,98,102,9,300,169,13,99,0,6,0,0,2,14,117,0,10,4,14,0,17,4,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-29,1668,560939,1263,9538,1121432,365,560308,0,2016,127,8,1272,1169,563030,24,738,184,2371,0,660,73,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-04-30,2173,1790,1852,12119,1798,1955,5313,0,137,137,1115,158,5996,5066,2,384,2324,2628,0,245,93,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-05-01,4416,1589,13883,120876,29863,69276,4846,0,26,42,1107,13913,5661,123991,0,149,2297,3380,0,3532,79,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
